0.02,0.00,0.01,0.23,0.08,0.00,0.66
0.01,0.00,0.02,0.08,0.66,0.00,0.23
0.01,0.00,0.00,0.24,0.06,0.02,0.67
0.02,0.00,0.01,0.23,0.08,0.00,0.65
0.01,0.00,0.02,0.08,0.66,0.00,0.23
0.00,0.01,0.00,0.02,0.08,0.66,0.23
0.66,0.07,0.00,0.02,0.24,0.00,0.01
0.01,0.00,0.02,0.08,0.66,0.00,0.23
0.00,0.01,0.00,0.03,0.07,0.24,0.65
0.67,0.00,0.06,0.24,0.02,0.00,0.01
0.66,0.01,0.00,0.07,0.24,0.00,0.02
0.00,0.00,0.00,0.02,0.08,0.66,0.23
0.66,0.00,0.01,0.23,0.08,0.00,0.02
0.00,0.23,0.66,0.00,0.08,0.02,0.01
0.00,0.00,0.65,0.03,0.08,0.23,0.01
0.02,0.00,0.01,0.08,0.66,0.00,0.23
0.00,0.01,0.73,0.09,0.08,0.09,0.00
0.00,0.01,0.00,0.24,0.02,0.08,0.65
0.66,0.00,0.06,0.24,0.03,0.00,0.01
0.66,0.01,0.00,0.08,0.23,0.00,0.02
0.02,0.00,0.01,0.23,0.08,0.00,0.66
0.01,0.00,0.02,0.08,0.66,0.00,0.23
0.02,0.00,0.01,0.24,0.07,0.00,0.66
0.01,0.00,0.02,0.08,0.65,0.00,0.24
0.01,0.00,0.02,0.23,0.08,0.00,0.66
0.02,0.00,0.01,0.24,0.07,0.00,0.66
0.01,0.00,0.02,0.08,0.65,0.00,0.23
0.02,0.00,0.01,0.09,0.23,0.00,0.65
0.66,0.01,0.00,0.07,0.23,0.00,0.02
0.66,0.01,0.00,0.07,0.24,0.00,0.02
0.23,0.65,0.00,0.02,0.08,0.00,0.00
0.01,0.00,0.02,0.08,0.66,0.00,0.23
0.66,0.00,0.01,0.08,0.23,0.00,0.02
0.66,0.01,0.00,0.08,0.23,0.00,0.02
0.00,0.00,0.00,0.02,0.23,0.66,0.09
0.00,0.01,0.00,0.08,0.02,0.65,0.23
0.00,0.02,0.00,0.06,0.67,0.01,0.24
0.67,0.06,0.00,0.02,0.24,0.00,0.01
0.22,0.00,0.02,0.67,0.01,0.00,0.07
0.00,0.66,0.00,0.01,0.08,0.23,0.02
0.23,0.00,0.08,0.66,0.01,0.00,0.02
0.01,0.00,0.03,0.08,0.64,0.00,0.24
0.01,0.00,0.02,0.08,0.65,0.00,0.23
0.65,0.01,0.00,0.08,0.24,0.00,0.02
0.02,0.00,0.01,0.08,0.66,0.00,0.23
0.24,0.00,0.06,0.67,0.01,0.00,0.02
0.02,0.00,0.01,0.23,0.08,0.00,0.66
0.66,0.01,0.00,0.07,0.24,0.00,0.02
0.00,0.01,0.00,0.02,0.08,0.66,0.23
0.66,0.01,0.00,0.08,0.23,0.00,0.02
0.01,0.00,0.02,0.08,0.66,0.00,0.23
0.01,0.00,0.02,0.08,0.66,0.00,0.23
0.00,0.01,0.00,0.02,0.07,0.66,0.24
0.66,0.00,0.02,0.24,0.01,0.00,0.06
0.09,0.01,0.00,0.09,0.72,0.00,0.08
0.00,0.00,0.00,0.02,0.08,0.66,0.23
0.02,0.00,0.01,0.24,0.07,0.00,0.66
